case_id,prompt,안_A,안_A_근거,안_A_신뢰도,안_A_표시,안_B,안_B_근거,안_B_신뢰도,안_B_표시,검토_선택,최종_답,검토_메모,검토_시작_시각,검토_종료_시각
kpi4-013,"Levothyroxine 복용 중입니다. 「신경계 및 뇌기능 7. 인지기능 저하 요인」에서 「3. 스트레스 - 스트레스 조절 및 신경 보호」이 목표인데, 무엇을 어떻게 먹어야 하나요?",l_theanine|magnesium_glycinate|separate_dosing,"급성 스트레스 반응은 테아닌이 완화하고, 스트레스로 소모된 마그네슘은 글리시네이트형으로 채운다. 칼슘·마그네슘·아연·식이섬유는 레보티록신 흡수를 막는다. 공복 복용 뒤 4시간 간격을 둔다.",0.7,separate_dosing_required,l_theanine,L-theanine may support stress management alongside thyroid treatment.,0.63,medication_review,,,,,
kpi4-014,「신경계 및 뇌기능 7. 인지기능 저하 요인」에서 「5. 영양결핍 - 신경전달물질 원료 및 에너지 공급」이 목표입니다. 어떤 성분이 근거가 있나요?,vitamin_b_complex,B군은 신경전달물질 합성 조효소이자 미토콘드리아 에너지 대사의 직접 원료다.,0.8,,vitamin_b_complex,B vitamins support neurotransmitter and energy metabolism.,0.74,,,,,,
kpi4-015,「신경계 및 뇌기능 7. 인지기능 저하 요인」에서 「6. 운동부족/혈류저하 - 뇌 신경 보호 및 기억력 개선」이 목표입니다. 어떤 성분이 근거가 있나요?,coq10|omega3,"에너지·혈류 축에 CoQ10, 신경 보호·기억 축에 오메가3를 둔다. 운동 자체를 대신하지는 못한다.",0.5,low_evidence_goal,omega3,Omega-3 is a supportive cardiovascular and neurologic option.,0.57,,,,,,
kpi4-016,"Metformin 복용 중입니다. 「신경계 및 뇌기능 7. 인지기능 저하 요인」에서 「7. 만성 염증 - 뇌 내 아밀로이드 축적 억제 및 항염」이 목표인데, 무엇을 어떻게 먹어야 하나요?",omega3|supplement_depleted_nutrient|vitamin_b_complex|vitamin_d3,전신 항염 근거는 오메가3와 비타민 D가 가장 두껍다. 아밀로이드 축적 억제까지는 근거가 모자란다. 메트포르민 장기 복용은 비타민 B12를 떨어뜨린다. 연 1회 B12 확인과 보충을 함께 둔다.,0.6,low_evidence_goal|metformin_b12_depletion,omega3,Omega-3 is a supportive option for inflammatory risk management.,0.62,medication_review,,,,,
kpi4-017,「신경계 및 뇌기능 7. 인지기능 저하 요인」에서 「8. 감각저하 - 시력·청력 보호 및 미세순환 개선」이 목표입니다. 어떤 성분이 근거가 있나요?,omega3|zinc,아연은 AREDS 조성의 핵심이고 오메가3가 망막·미세순환을 받친다. 루테인·지아잔틴이 어휘에 없어 대체한다.,0.55,vocab_coverage_gap,zinc,Zinc supports sensory function; the cause of loss needs assessment.,0.45,low_specificity,,,,,
kpi4-018,「신경계 및 뇌기능 7. 인지기능 저하 요인」에서 「9. 환경 (음주/흡연/중금속) - 산화 스트레스 감소 및 중금속 배출」이 목표입니다. 어떤 성분이 근거가 있나요?,vitamin_c|zinc,"비타민 C는 흡연·음주로 먼저 소모되는 항산화제이고, 아연은 메탈로티오네인을 통해 중금속을 붙잡는다. 셀레늄·글루타치온이 어휘에 없다.",0.5,vocab_coverage_gap,advise_professional_consult,Heavy-metal exposure concerns require testing and clinician care.,0.94,toxin_exposure,,,,,
kpi4-019,"Prednisolone 복용 중입니다. 「기타 1. 치과질환」에서 「1. 치은염 (Gingivitis) 잇몸 조직 재생 및 지혈」이 목표인데, 무엇을 어떻게 먹어야 하나요?",calcium_citrate|supplement_depleted_nutrient|vitamin_c|vitamin_d3,잇몸 콜라겐 합성과 모세혈관 취약성 개선을 비타민 C가 직접 맡는다. 스테로이드는 칼슘·비타민 D 손실과 골 소실을 부른다. 골 보호 조합을 기본으로 얹는다.,0.75,steroid_bone_loss_support|steroid_vitamin_c_depletion,vitamin_c,Vitamin C may support gum tissue health.,0.71,medication_review,,,,,
kpi4-020,「기타 1. 치과질환」에서 「2. 치주염 (Periodontitis) 치조골 밀도 유지」이 목표입니다. 어떤 성분이 근거가 있나요?,calcium_citrate|vitamin_d3,치조골도 전신 골대사를 따라간다. 칼슘·비타민 D가 골밀도 유지 축이다.,0.65,,calcium_citrate,Calcium supports bone density maintenance.,0.66,,,,,,
kpi4-021,"「신경계 및 뇌기능 2. 우울」에서 「1. 불안·자책 완화 및 정서적 안정 (문항 1,5,6번)」이 목표입니다. 어떤 성분이 근거가 있나요?",l_theanine|magnesium_glycinate,불안·긴장 완화에 테아닌과 마그네슘의 근거가 모인다.,0.65,,l_theanine,L-theanine is a supportive option for anxiety symptoms.,0.66,mental_health,,,,,
kpi4-022,"Amlodipine 복용 중입니다. 「신경계 및 뇌기능 2. 우울」에서 「2. 의욕 저하 및 에너지 회복 (문항 3,4,8번)」이 목표인데, 무엇을 어떻게 먹어야 하나요?",vitamin_b_complex|vitamin_d3,"에너지 대사 조효소인 B군과, 결핍 시 무기력·기분 저하로 이어지는 비타민 D를 둔다. 암로디핀은 영양소를 고갈시키지 않아 별도 보충 조정이 필요 없다.",0.55,low_evidence_goal,vitamin_b_complex,B vitamins support energy metabolism; depression symptoms need care.,0.6,medication_review|mental_health,,,,,
kpi4-023,「신경계 및 뇌기능 2. 우울」에서 「3. 장-뇌 축 및 감정 활력 (문항 7번)」이 목표입니다. 어떤 성분이 근거가 있나요?,probiotics,장-뇌 축이라는 목표 서술 자체가 프로바이오틱스를 가리킨다.,0.8,,probiotics,Probiotics can support the gut environment.,0.68,mental_health,,,,,
kpi4-024,"「신경계 및 뇌기능 2. 우울」에서 「4. 염증성 피로 및 뇌 피로 개선 (문항 9,10번)」이 목표입니다. 어떤 성분이 근거가 있나요?",omega3|vitamin_d3,염증성 우울·피로 가설에 대응하는 성분은 오메가3와 비타민 D다.,0.6,,omega3,Omega-3 is a supportive option for inflammatory health risks.,0.6,mental_health,,,,,
kpi4-025,"Atorvastatin 복용 중입니다. 「대사 및 순환 3. 당뇨·인슐린저항성」에서 「1. 인슐린 저항성 개선」이 목표인데, 무엇을 어떻게 먹어야 하나요?",berberine|coq10|supplement_depleted_nutrient,베르베린은 AMPK 활성화로 인슐린 감수성을 높인다. 어휘 안에서 이 목표에 가장 직접 붙는 성분이다. 스타틴은 CoQ10 합성을 함께 줄인다. 근육 증상 여부와 무관하게 CoQ10 보충을 얹는다.,0.85,statin_coq10_depletion,advise_professional_consult,Medication and glucose management need clinician review.,0.85,glycemic_risk|medication_review,,,,,
kpi4-026,「대사 및 순환 3. 당뇨·인슐린저항성」에서 「2. 식후 혈당 억제(스파이크 방지)」이 목표입니다. 어떤 성분이 근거가 있나요?,soluble_fiber,수용성 식이섬유가 위 배출과 당 흡수 속도를 늦춰 식후 혈당 상승 폭을 줄인다.,0.8,,soluble_fiber,Soluble fiber may help reduce post-meal glucose rises.,0.78,,,,,,
kpi4-027,「대사 및 순환 3. 당뇨·인슐린저항성」에서 「3. 합병증 방어」이 목표입니다. 어떤 성분이 근거가 있나요?,omega3|vitamin_b_complex,"신경병증 축에 B군, 심혈관·신장 합병증 축에 오메가3를 나눠 둔다.",0.5,low_evidence_goal,omega3,Omega-3 is a supportive option for cardiovascular risk management.,0.58,,,,,,
kpi4-028,"Esomeprazole 복용 중입니다. 「대사 및 순환 3. 당뇨·인슐린저항성」에서 「4. 약물 고갈 영양소」이 목표인데, 무엇을 어떻게 먹어야 하나요?",coq10|supplement_depleted_nutrient|vitamin_b_complex,"당뇨 처방에서 메트포르민이 B12를, 병용 스타틴이 CoQ10을 고갈시킨다. 가장 흔한 두 고갈 항목이다. PPI는 위산을 낮춰 비타민 B12·마그네슘·칼슘·아연 상태를 떨어뜨린다. 칼슘은 위산에 덜 의존하는 구연산염 형태로 간다.",0.7,ppi_b12_depletion,supplement_depleted_nutrient,Review possible nutrient depletion during acid-suppressing treatment.,0.77,medication_review,,,,,
kpi4-029,「에너지 생성 및 부신·갑상선 기능 5. 어지럼증」에서 「A형 말초성 현훈 (귀) 이석증 메니에르 (순환/신경)」이 목표입니다. 어떤 성분이 근거가 있나요?,calcium_citrate|vitamin_d3,이석은 탄산칼슘 결정이다. 비타민 D·칼슘 보충이 재발성 이석증의 재발률을 낮춘 무작위 시험 근거가 있다.,0.55,,advise_professional_consult,Vertigo needs diagnostic assessment before self-treatment.,0.93,acute_symptom,,,,,
kpi4-030,「에너지 생성 및 부신·갑상선 기능 5. 어지럼증」에서 「B형 중추성 현훈 (뇌) 뇌졸중 뇌종양 (뇌혈관)」이 목표입니다. 어떤 성분이 근거가 있나요?,advise_professional_consult|omega3,중추성 현훈은 영상·신경학적 평가가 먼저다. 보충제는 혈관 위험 관리 보조에 그친다. 성분만으로 끝낼 사안이 아니라 의료 상담을 함께 붙인다.,0.35,not_first_line_supplement|red_flag_medical_referral,advise_professional_consult,Possible central vertigo requires urgent medical assessment.,0.99,urgent_neurologic_symptom,,,,,
kpi4-031,"Furosemide 복용 중입니다. 「에너지 생성 및 부신·갑상선 기능 5. 어지럼증」에서 「C형 심인성 현훈 (마음) 공황장애 불안증 (자율신경)」이 목표인데, 무엇을 어떻게 먹어야 하나요?",l_theanine|magnesium_glycinate|supplement_depleted_nutrient,자율신경 과각성 완화에 테아닌·마그네슘을 쓴다. 루프 이뇨제는 마그네슘·칼륨·칼슘·티아민·아연을 소변으로 함께 내보낸다. 전해질 확인과 보충이 같이 간다.,0.65,loop_diuretic_depletion,l_theanine,L-theanine may support anxiety-related symptoms.,0.55,medication_review|mental_health,,,,,
kpi4-032,「대사 및 순환 2. 이상지질혈증」에서 「1. LDL 상승형(콜레스테롤) 유전성/체질」이 목표입니다. 어떤 성분이 근거가 있나요?,berberine|soluble_fiber,"베르베린은 LDL 수용체 발현을 늘리고, 수용성 식이섬유는 담즙산 배설로 LDL을 끌어내린다.",0.7,,soluble_fiber,Soluble fiber is a supportive option for LDL management.,0.72,,,,,,
kpi4-033,「대사 및 순환 2. 이상지질혈증」에서 「2. TG 상승형(중성지방/대사성)」이 목표입니다. 어떤 성분이 근거가 있나요?,omega3,고용량 EPA·DHA의 중성지방 저하는 용량-반응이 확인된 근거다.,0.9,,omega3,Omega-3 is a suitable supportive option for triglyceride management.,0.8,,,,,,
kpi4-034,"Levothyroxine 복용 중입니다. 「대사 및 순환 2. 이상지질혈증」에서 「3. 산화 방지형(동맥경화 예방)」이 목표인데, 무엇을 어떻게 먹어야 하나요?",coq10|vitamin_c,산화 LDL 억제 축에 CoQ10·비타민 C를 둔다. 임상 결과 지표까지의 근거는 제한적이다. 레보티록신은 공복 복용이 원칙이다. 보충제는 복용 4시간 뒤로 미룬다.,0.45,low_evidence_goal,omega3,Omega-3 is a supportive cardiovascular risk-management option.,0.56,medication_review,,,,,
kpi4-035,「대사 및 순환 2. 이상지질혈증」에서 「4. 스타틴 복용형(약물 부작용)」이 목표입니다. 어떤 성분이 근거가 있나요?,coq10,스타틴이 메발론산 경로를 막아 CoQ10 합성을 함께 줄인다. 근육 증상 대응의 표준 보충 항목이다.,0.85,,coq10,CoQ10 may be considered for statin-related muscle symptoms.,0.78,,,,,,
kpi4-036,"「에너지 생성 및 부신·갑상선 기능 1. 피로·부신·자율신경」에서 「1. 기초 에너지 생성 및 만성피로 예방 (문항 1, 9번 'O')」이 목표입니다. 어떤 성분이 근거가 있나요?",coq10|vitamin_b_complex,ATP 생성 경로의 조효소(B군)와 전자전달계 운반체(CoQ10)를 함께 둔다.,0.7,,vitamin_b_complex,B vitamins support energy metabolism.,0.67,,,,,,
kpi4-037,"Metformin 복용 중입니다. 「에너지 생성 및 부신·갑상선 기능 1. 피로·부신·자율신경」에서 「2. 부신 건강 및 스트레스 저항력 강화 (문항 3, 5번 'O')」이 목표인데, 무엇을 어떻게 먹어야 하나요?",supplement_depleted_nutrient|vitamin_b_complex|vitamin_c,"부신 피질은 비타민 C 농도가 가장 높은 조직이고, 판토텐산은 코르티솔 합성 경로 조효소다. 메트포르민 장기 복용은 비타민 B12를 떨어뜨린다. 연 1회 B12 확인과 보충을 함께 둔다.",0.65,metformin_b12_depletion,vitamin_b_complex,B vitamins support energy metabolism and nutrient review is useful.,0.61,medication_review,,,,,
kpi4-038,"「에너지 생성 및 부신·갑상선 기능 1. 피로·부신·자율신경」에서 「3. 자율신경 균형 및 혈당 안정 (문항 2,4,6번 'O')」이 목표입니다. 어떤 성분이 근거가 있나요?",l_theanine|magnesium_glycinate,교감신경 과항진 완화에 마그네슘·테아닌을 둔다. 혈당 안정까지의 직접 근거는 약하다.,0.55,low_evidence_goal,magnesium_glycinate,Magnesium glycinate may support neuromuscular relaxation.,0.64,,,,,,
kpi4-039,"「에너지 생성 및 부신·갑상선 기능 1. 피로·부신·자율신경」에서 「4. 신체 회복력 강화 및 소진 관리 (문항 7,8번 'O')」이 목표입니다. 어떤 성분이 근거가 있나요?",magnesium_glycinate|vitamin_b_complex,회복력·소진이라는 서술이 특정 성분을 지목하지 않는다. 근육 회복과 에너지 대사 축으로 최소 답을 둔다.,0.45,low_evidence_goal,coq10,CoQ10 is a supportive energy-metabolism option.,0.62,,,,,,
kpi4-040,"Prednisolone 복용 중입니다. 「에너지 생성 및 부신·갑상선 기능 1. 피로·부신·자율신경」에서 「5. 만성 피로 고위험 (문항 9번 'X')」이 목표인데, 무엇을 어떻게 먹어야 하나요?",calcium_citrate|coq10|supplement_depleted_nutrient|vitamin_b_complex|vitamin_d3,만성 피로 고위험군에는 미토콘드리아 지원 축을 둔다. 갑상선·빈혈 등 기저 원인 감별이 먼저다. 스테로이드는 칼슘·비타민 D 손실과 골 소실을 부른다. 골 보호 조합을 기본으로 얹는다.,0.5,low_evidence_goal|steroid_bone_loss_support,advise_professional_consult,Persistent fatigue during steroid treatment needs clinical review.,0.88,medication_review,,,,,
kpi4-041,「에너지 생성 및 부신·갑상선 기능 1. 피로·부신·자율신경」에서 「6. PEM(활동 후 피로 악화) 및 극심한 소진 관리 (문항 10번 'X')」이 목표입니다. 어떤 성분이 근거가 있나요?,advise_professional_consult|coq10|magnesium_glycinate,활동 후 권태는 ME/CFS 핵심 징후라 진단 확인이 먼저다. 미토콘드리아 지원 목적의 CoQ10·마그네슘은 보조다. 성분만으로 끝낼 사안이 아니라 의료 상담을 함께 붙인다.,0.4,low_evidence_goal|red_flag_medical_referral,advise_professional_consult,Severe post-exertional fatigue needs diagnostic assessment.,0.91,post_exertional_symptom,,,,,
kpi4-042,「성호르몬·비뇨기계 4. 여성 염증」에서 「급성 방광염 － 강력한 균 포획 및 배출 (문항 5-7번)」이 목표입니다. 어떤 성분이 근거가 있나요?,advise_professional_consult|probiotics|vitamin_c,급성 방광염은 항균제가 1차다. D-만노스·크랜베리가 어휘에 없어 요 산성화와 세균총 보조로 대체한다. 성분만으로 끝낼 사안이 아니라 의료 상담을 함께 붙인다.,0.4,not_first_line_supplement|red_flag_medical_referral|vocab_coverage_gap,probiotics,Probiotics are only supportive; acute urinary symptoms need care.,0.45,urinary_symptom,,,,,
kpi4-043,"Amlodipine 복용 중입니다. 「성호르몬·비뇨기계 4. 여성 염증」에서 「만성/재발성 방광염 － 바이오필름 파괴 및 면역 증가 (문항 20, 21, 26번)」이 목표인데, 무엇을 어떻게 먹어야 하나요?",probiotics|vitamin_d3,재발 예방은 질·요로 세균총 회복과 면역 상태 교정으로 간다. 바이오필름을 직접 겨냥하는 성분은 어휘에 없다. 암로디핀은 영양소를 고갈시키지 않아 별도 보충 조정이 필요 없다.,0.55,vocab_coverage_gap,advise_professional_consult,Recurrent cystitis requires evaluation and treatment.,0.93,medication_review|recurrent_infection,,,,,
kpi4-044,「성호르몬·비뇨기계 4. 여성 염증」에서 「급성 요도염 － 화끈거림 차단 및 항염 (문항 8-10번)」이 목표입니다. 어떤 성분이 근거가 있나요?,advise_professional_consult|omega3|vitamin_c,급성 요도염은 성매개 감염 감별과 항균 치료가 먼저다. 보충제는 항염 보조에 그친다. 성분만으로 끝낼 사안이 아니라 의료 상담을 함께 붙인다.,0.4,not_first_line_supplement|red_flag_medical_referral,advise_professional_consult,Urethral burning needs infection assessment and treatment.,0.95,urinary_symptom,,,,,
kpi4-045,"「성호르몬·비뇨기계 4. 여성 염증」에서 「만성요도염 － 상피 재생 및 신경 안정 (문항 11, 16, 17번)」이 목표입니다. 어떤 성분이 근거가 있나요?",magnesium_glycinate|zinc,"상피 재생은 아연, 신경 안정은 마그네슘으로 축을 나눈다.",0.4,low_evidence_goal,advise_professional_consult,Chronic urethral symptoms need diagnostic assessment.,0.92,chronic_symptom,,,,,
kpi4-046,"Atorvastatin 복용 중입니다. 「성호르몬·비뇨기계 4. 여성 염증」에서 「세균성& 칸디다 질염 － 질내 pH 정상화 및 유익균 생태계 복구」이 목표인데, 무엇을 어떻게 먹어야 하나요?",coq10|probiotics|supplement_depleted_nutrient,질내 락토바실러스 우점 회복이 목표 서술 그대로다. 스타틴은 CoQ10 합성을 함께 줄인다. 근육 증상 여부와 무관하게 CoQ10 보충을 얹는다.,0.85,statin_coq10_depletion,probiotics,Probiotics may support the vaginal microbiome but do not treat infection.,0.62,infection_symptom|medication_review,,,,,
kpi4-047,「성호르몬·비뇨기계 4. 여성 염증」에서 「트리코모나스 질염－ 기생충 감염 후 점막 손상 회복 및 재발 방지」이 목표입니다. 어떤 성분이 근거가 있나요?,advise_professional_consult|probiotics|zinc,트리코모나스는 메트로니다졸 치료 대상이다. 보충제는 치료 뒤 점막·세균총 회복으로 범위를 한정한다. 성분만으로 끝낼 사안이 아니라 의료 상담을 함께 붙인다.,0.5,red_flag_medical_referral,advise_professional_consult,Trichomonas infection requires prescribed treatment and partner management.,0.98,sexually_transmitted_infection,,,,,
kpi4-048,「성호르몬·비뇨기계 4. 여성 염증」에서 「만성 / 재발성 질염－ 점막 방어막 재생 및 바이오필름 파괴」이 목표입니다. 어떤 성분이 근거가 있나요?,probiotics|vitamin_d3,세균총 재정착과 점막 면역 지원으로 접근한다. 바이오필름 파괴 전용 성분은 어휘에 없다.,0.55,vocab_coverage_gap,probiotics,Probiotics are supportive only; recurrent vaginitis needs care.,0.58,recurrent_infection,,,,,
kpi4-049,"Esomeprazole 복용 중입니다. 「성호르몬·비뇨기계 1. 여성 갱년기」에서 「정서적 안정 및 수면 질 개선 - 우울/불안, 불면증」이 목표인데, 무엇을 어떻게 먹어야 하나요?",l_theanine|magnesium_glycinate|supplement_depleted_nutrient|vitamin_b_complex,갱년기 불면·불안에 테아닌·마그네슘을 둔다. PPI는 위산을 낮춰 비타민 B12·마그네슘·칼슘·아연 상태를 떨어뜨린다. 칼슘은 위산에 덜 의존하는 구연산염 형태로 간다.,0.65,ppi_b12_depletion|ppi_magnesium_depletion,l_theanine,L-theanine may support relaxation and sleep readiness.,0.63,medication_review,,,,,
kpi4-050,"「성호르몬·비뇨기계 1. 여성 갱년기」에서 「점막 보습 및 피부 탄력 유지 → 질 건조감, 피부 가려움」이 목표입니다. 어떤 성분이 근거가 있나요?",omega3|vitamin_c,"오메가3가 점막·피부 지질막을, 비타민 C가 콜라겐 합성을 맡는다.",0.55,,advise_professional_consult,Dryness and itching need assessment because causes differ.,0.74,low_specificity,,,,,
kpi4-051,"「성호르몬·비뇨기계 1. 여성 갱년기」에서 「골밀도 유지 및 관절 보호 - 골다공증, 관절통」이 목표입니다. 어떤 성분이 근거가 있나요?",calcium_citrate|vitamin_d3,폐경 후 골 소실 대응의 표준 조합이다.,0.85,,calcium_citrate,Calcium supports bone density maintenance.,0.77,,,,,,
kpi4-052,"Furosemide 복용 중입니다. 「성호르몬·비뇨기계 1. 여성 갱년기」에서 「세포 에너지 생성 및 활성화 - 피로감, 무기력증」이 목표인데, 무엇을 어떻게 먹어야 하나요?",coq10|magnesium_glycinate|supplement_depleted_nutrient|vitamin_b_complex,세포 에너지 생성이라는 목표에 전자전달계 CoQ10과 조효소 B군이 붙는다. 루프 이뇨제는 마그네슘·칼륨·칼슘·티아민·아연을 소변으로 함께 내보낸다. 전해질 확인과 보충이 같이 간다.,0.65,loop_diuretic_depletion|loop_diuretic_thiamine_depletion,coq10,CoQ10 is a supportive energy-metabolism option.,0.6,medication_review,,,,,
kpi4-053,"「소화기계 1. 위」에서 「1. 위 운동 기능 저하 개선 (문항 1, 2, 3, 10번)」이 목표입니다. 어떤 성분이 근거가 있나요?",probiotics|vitamin_b_complex,위 배출 지연에 쓰는 생강·소화효소가 어휘에 없다. 세균총 교정과 B군의 신경·근 기능 지원으로 대체한다.,0.35,low_evidence_goal|vocab_coverage_gap,magnesium_glycinate,Magnesium may support relaxation; gastrointestinal symptoms need assessment.,0.51,gastrointestinal_symptom,,,,,
kpi4-054,"「소화기계 1. 위」에서 「2. 자율신경 균형 및 스트레스 완화 (문항 5, 9번)」이 목표입니다. 어떤 성분이 근거가 있나요?",l_theanine|magnesium_glycinate,기능성 소화불량의 스트레스 축에 테아닌·마그네슘을 둔다.,0.7,,l_theanine,L-theanine may support stress-related autonomic tension.,0.67,,,,,,
